כותרת,תנועה,מנה,"ס""ת",ח-ן נגדי,מפתח חשבון,ספק תקין ,שם חשבון נגדי,ת.אסמכ,ת.ערך,תאריך 3,אסמ',אסמ'2,פרטים,תמחיר,חובה / זכות (שקל),מפתח חשבון,שם חשבון,קוד מיון,שם קוד מיון
806452,1747379,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,7025845,,FACEBK *FN6NNJL2X2,,484,50011,הוצאות פרסום ושיווק,805,שיווק
806475,1747402,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,70251383,,FACEBK *META VERIFIE,,42.89,50011,הוצאות פרסום ושיווק,805,שיווק
806453,1747380,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,06/02/2025,06/02/2025,06/02/2025,7025845,,FACEBK *7E7MTKQ2X2,,533,50011,הוצאות פרסום ושיווק,805,שיווק
806454,1747381,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,06/02/2025,06/02/2025,06/02/2025,9025845,,FACEBK *75BL8K42X2,,587,50011,הוצאות פרסום ושיווק,805,שיווק
806455,1747382,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,06/02/2025,06/02/2025,06/02/2025,9025845,,FACEBK *RR2TUKQ2X2,,646,50011,הוצאות פרסום ושיווק,805,שיווק
806456,1747383,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,07/02/2025,07/02/2025,07/02/2025,9025845,,FACEBK *JER3TJC2X2,,711,50011,הוצאות פרסום ושיווק,805,שיווק
806457,1747384,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,07/02/2025,07/02/2025,07/02/2025,9025845,,FACEBK *MCSK9JYZW2,,783,50011,הוצאות פרסום ושיווק,805,שיווק
806458,1747385,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,08/02/2025,08/02/2025,08/02/2025,10025845,,FACEBK *F3XPAJYZW2,,862,50011,הוצאות פרסום ושיווק,805,שיווק
806459,1747386,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,09/02/2025,09/02/2025,09/02/2025,10025845,,FACEBK *AATMUJL2X2,,949,50011,הוצאות פרסום ושיווק,805,שיווק
806460,1747387,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,09/02/2025,09/02/2025,09/02/2025,11025845,,FACEBK *KXZGZHG2X2,,1044,50011,הוצאות פרסום ושיווק,805,שיווק
